reference	hypothesis
ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
استاد نوجوان ذهنن کي شڪل ڏين ٿا.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
مان اڄ صبح جلدي اٿي ويسم.	مان اڄ صبح جلدي اٿي ويسم.
هوءَ باغ ۾ آهستي آهستي هلندي.	هوءَ باغ ۾ آهستي آهستي هلندي.
مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
هوءَ باغ ۾ آهستي آهستي هلندي.	هوءَ باغ ۾ آهستي آهستي هلندي.
هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
بس دير سان پهچي.	بس دير سان پهچي.
ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
استاد نوجوان ذهنن کي شڪل ڏين ٿا.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
شادي جي تقريب ٽن ڏينهن تائين هلي.	شادي جي تقريب ٽن ڏينهن تائين هلي.
ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
شادي جي تقريب ٽن ڏينهن تائين هلي.	شادي جي تقريب ٽن ڏينهن تائين هلي.
استاد نوجوان ذهنن کي شڪل ڏين ٿا.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
هوءَ باغ ۾ آهستي آهستي هلندي.	هوءَ باغ ۾ آهستي آهستي هلندي.
نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
مان اڄ صبح جلدي اٿي ويسم.	مان اڄ صبح جلدي اٿي ويسم.
اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
مان اڄ صبح جلدي اٿي ويسم.	مان اڄ صبح جلدي اٿي ويسم.
انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
بس دير سان پهچي.	بس دير سان پهچي.
سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
شادي جي تقريب ٽن ڏينهن تائين هلي.	شادي جي تقريب ٽن ڏينهن تائين هلي.
مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
درياهه وادي ۾ پرامن طريقي سان وهندي آهي.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
درياهه وادي ۾ پرامن طريقي سان وهندي آهي.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
هوءَ خاندان لاءِ مزيدار برياني پاڻي.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
درياهه وادي ۾ پرامن طريقي سان وهندي آهي.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔	ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔
منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔
منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
کسان پاݨی والے کھیتراں وچ چاول پوکے۔	کسان پاݨی والے کھیتراں وچ چاول پوکے۔
ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔	کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔
تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔	تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔	تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔
مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔	مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔
مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔	مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔
میں اڄ صبح جلدی اٹھیا۔	میں اڄ صبح جلدی اٹھیا۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔	تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
لوک وݙی خوشی نال میلے منیندے نیں۔	لوک وݙی خوشی نال میلے منیندے نیں۔
کسان پاݨی والے کھیتراں وچ چاول پوکے۔	کسان پاݨی والے کھیتراں وچ چاول پوکے۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
